graph,n,m,lamg_s,setups,resid
ML_Graph__Vehicle_10NN,846,10894,0.501,47,4.386e-10
ML_Graph__mice_10NN,1077,13484,6.431,305,5.631e-07
DIMACS10__uk,4824,13674,9.393,313,6.555e-04
ML_Graph__collins_15NN,1000,16492,1.015,56,4.420e-06
ML_Graph__cnae9_10NN,1080,18278,4.615,207,2.115e-07
ML_Graph__Binaryalphadigs_10NN,1404,19392,2.540,108,1.955e-08
ML_Graph__plantstexture_10NN,1599,21204,10.322,305,2.191e-08
ML_Graph__Plants_10NN,1600,21930,1.777,77,5.153e-09
ML_Graph__semeion_10NN,1593,22226,1.134,58,7.051e-11
ML_Graph__dataset18mfeatmorphological_10NN,2000,22832,2.171,80,7.211e-06
ML_Graph__plantsmargin_12NN,1600,25482,9.771,310,6.453e-07
ML_Graph__dataset22mfeatzernike_10NN,2000,27414,13.641,304,7.610e-07
ML_Graph__dataset12mfeatfactors_10NN,2000,27442,13.357,303,1.059e-08
ML_Graph__dataset16mfeatkarhunen_10NN,2000,27668,2.025,68,2.427e-08
SNAP__as-735,6474,25144,13.801,318,2.605e-04
ML_Graph__dataset20mfeatpixel_10NN,2000,27932,1.140,50,3.515e-10
SNAP__ca-GrQc,4158,26844,1.914,68,4.098e-05
DIMACS10__data,2851,30186,2.867,85,4.905e-05
Newman__hep-th,5835,27630,13.267,310,1.204e-04
ML_Graph__YaleB_10NN,2414,34808,14.394,307,1.317e-08
Newman__polblogs,1222,33428,3.937,177,1.253e-06
SNAP__CollegeMsg,1893,27670,9.462,315,2.904e-05
SNAP__p2p-Gnutella08,6299,41552,23.556,311,1.188e-04
SNAP__Oregon-1,11174,46818,9.130,187,4.747e-07
SNAP__soc-sign-bitcoin-alpha,3775,28240,1.738,63,1.615e-04
SNAP__email-Eu-core-temporal,986,32128,7.349,316,1.059e-07
SNAP__email-Eu-core,986,32128,7.268,317,3.814e-06
SNAP__ca-HepTh,8638,49612,5.594,72,4.815e-04
SNAP__p2p-Gnutella09,8104,52016,14.013,194,5.691e-06
ML_Graph__yeast_30NN,1484,62350,3.407,84,2.127e-08
SNAP__p2p-Gnutella06,8717,63050,36.781,310,1.226e-04
SNAP__p2p-Gnutella05,8842,63674,38.257,309,1.788e-04
SNAP__Oregon-2,11461,65460,27.542,318,4.287e-05
SNAP__soc-sign-bitcoin-otc,5875,42978,5.292,121,2.600e-05
Gleich__wb-cs-stanford,8929,52640,6.949,90,4.623e-04
ML_Graph__optdigits_10NN,5620,79650,32.138,309,2.545e-06
SNAP__p2p-Gnutella04,10876,79988,57.436,309,1.001e-03
ML_Graph__usps_norm_5NN,11000,81112,14.863,119,4.366e-06
Newman__cond-mat,13861,89238,20.619,137,2.310e-04
Newman__as-22july06,22963,96872,28.375,172,1.158e-03
SNAP__p2p-Gnutella25,22663,109386,73.345,304,3.347e-04
ML_Graph__indianpines_10NN,9144,124656,11.196,75,2.807e-06
SNAP__p2p-Gnutella24,26498,130718,83.171,305,1.125e-04
ML_Graph__JapaneseVowelsSmall_10NN,9961,131144,25.996,140,1.692e-09
ML_Graph__mnist_test_norm_10NN,10000,145600,75.155,308,9.631e-08
ML_Graph__har_10NN,10299,151736,12.134,76,6.687e-06
ML_Graph__kmnist_norm_10NN,10000,156932,70.299,307,4.600e-08
ML_Graph__Fashion_MNIST_norm_10NN,10000,158304,74.279,308,3.322e-07
SNAP__p2p-Gnutella30,36646,176606,108.514,306,9.716e-05
SNAP__ca-CondMat,21363,182572,126.210,315,1.023e-03
SNAP__wiki-Vote,7066,201472,14.604,84,9.012e-05
SNAP__as-caida,26475,106762,23.787,146,4.956e-04
SNAP__ca-HepPh,11204,235238,22.448,108,1.659e-05
Newman__cond-mat-2003,27519,232362,148.709,311,3.971e-05
ML_Graph__worms20_10NN,20055,240826,131.588,303,4.614e-06
Newman__astro-ph,14845,239304,32.639,122,2.726e-04
SNAP__p2p-Gnutella31,62561,295756,198.100,306,1.443e-04
Newman__cond-mat-2005,36458,343472,67.732,149,6.659e-05
SNAP__email-Enron,33696,361622,158.303,320,4.884e-04
SNAP__wiki-RfA,11377,361960,89.003,325,1.213e-04
SNAP__ca-AstroPh,17903,393944,43.069,115,4.898e-05
SNAP__loc-Brightkite,56739,425890,118.898,181,6.111e-04
SNAP__sx-mathoverflow,24668,375878,113.356,321,4.034e-06
LAW__enron,67521,506986,41.004,94,1.867e-04
ML_Graph__k49_norm_10NN,38547,618158,331.691,308,1.502e-09
SNAP__cit-HepTh,27400,704042,272.789,321,7.900e-05
SNAP__email-EuAll,224832,679850,288.405,312,6.464e-04
SNAP__cit-HepPh,34401,841568,352.235,323,9.357e-05
DIMACS10__preferentialAttachment,100000,999970,577.650,308,3.348e-06
DIMACS10__smallworld,100000,999996,568.106,306,4.618e-07
DIMACS10__G_n_pin_pout,99995,1002396,678.035,309,3.159e-06
SNAP__soc-Epinions1,75877,811478,344.885,320,2.171e-04
SNAP__soc-sign-Slashdot081106,77350,937108,396.562,321,2.219e-04
SNAP__soc-sign-Slashdot090216,81867,995344,465.672,320,5.140e-05
SNAP__soc-sign-Slashdot090221,82140,1000962,468.305,319,2.096e-04
SNAP__sx-askubuntu,152599,906442,576.028,317,2.926e-04
DIMACS10__caidaRouterLevel,190914,1215220,153.722,78,8.522e-04
LAW__dblp-2010,226413,1432920,854.919,310,2.292e-04
DIMACS10__coAuthorsCiteseer,227320,1628268,265.828,131,8.259e-05
SNAP__soc-sign-epinions,119130,1408534,246.359,184,5.167e-10
SNAP__soc-Slashdot0811,77360,938360,340.872,321,4.518e-05
SNAP__sx-superuser,189191,1425740,838.846,318,2.327e-04
SNAP__com-Amazon,334863,1851744,1202.507,280,6.710e-04
Barabasi__NotreDame_www,245529,1489250,94.626,55,2.665e-03
SNAP__soc-Slashdot0902,82168,1008460,408.742,322,8.748e-05
SNAP__loc-Gowalla,196591,1900654,948.107,318,2.452e-04
DIMACS10__coAuthorsDBLP,299067,1955352,366.440,119,4.356e-04
SNAP__com-DBLP,317080,2099732,1203.462,271,8.576e-05
DIMACS10__citationCiteseer,268495,2313294,271.879,87,2.135e-05
SNAP__amazon0302,262111,1799584,1201.001,301,1.358e-04
SNAP__web-NotreDame,325729,2180216,225.601,89,6.787e-04
SNAP__web-Stanford,255265,3883852,1201.261,213,2.436e-03
